attendance_percentage,assignment_score,midterm_score,quiz_average,study_hours_per_day,final_score,risk_level
71.6,63.4,44.3,87.6,6.9,61.3,LOW
49.8,69.6,93.3,88.6,10.0,83.2,LOW
37.3,72.0,65.5,52.9,5.0,62.8,LOW
94.9,28.0,50.0,66.5,0.3,50.2,MEDIUM
59.4,37.8,50.9,50.5,2.0,47.2,MEDIUM
38.7,97.4,92.3,53.0,8.2,79.7,LOW
81.9,20.6,43.7,37.9,2.8,50.0,MEDIUM
48.5,87.1,81.6,53.2,2.4,75.6,LOW
59.0,21.2,23.8,50.0,8.2,42.2,MEDIUM
72.0,46.8,96.3,99.4,2.4,83.5,LOW
43.5,71.6,84.6,84.1,5.8,65.8,LOW
74.5,98.2,25.6,92.3,5.2,63.9,LOW
37.0,84.1,55.4,70.5,7.8,67.8,LOW
73.9,40.8,59.8,95.9,2.0,54.8,MEDIUM
60.6,70.3,63.4,22.2,7.1,65.5,LOW
35.5,50.6,76.8,30.4,4.5,55.5,MEDIUM
55.1,39.2,90.8,43.8,5.4,57.8,MEDIUM
84.6,82.9,79.3,72.7,2.7,84.6,LOW
73.9,71.1,62.1,28.3,4.6,62.4,LOW
37.5,42.6,90.5,27.4,4.9,54.2,MEDIUM
88.7,51.3,54.2,21.8,0.7,60.5,LOW
35.3,75.0,43.8,45.1,9.1,57.4,MEDIUM
42.6,20.8,26.1,65.4,6.1,28.2,HIGH
98.3,99.5,53.6,69.1,5.5,70.9,LOW
81.9,94.1,27.4,22.4,0.2,53.1,MEDIUM
40.7,89.3,20.3,37.4,3.3,40.3,MEDIUM
80.9,95.2,34.1,58.5,9.5,63.0,LOW
68.6,43.5,77.1,59.7,5.1,61.5,LOW
43.5,33.8,71.8,91.0,2.8,55.6,MEDIUM
70.9,81.3,38.0,83.5,9.5,64.9,LOW
91.8,53.9,77.2,85.3,6.2,76.5,LOW
60.1,65.4,43.7,70.6,0.6,49.2,MEDIUM
32.4,60.9,62.8,43.5,8.3,56.7,MEDIUM
97.6,48.2,12.7,34.4,3.2,47.4,MEDIUM
55.0,25.8,69.1,49.8,7.8,47.0,MEDIUM
52.3,20.9,39.6,57.2,8.0,48.5,MEDIUM
69.3,50.8,64.2,62.2,1.0,55.3,MEDIUM
72.6,90.7,87.4,26.0,8.9,74.9,LOW
82.9,45.4,38.8,35.8,8.0,50.9,MEDIUM
99.3,53.7,21.2,33.7,3.3,45.5,MEDIUM
70.3,42.8,67.9,88.5,9.9,73.3,LOW
49.9,87.3,46.3,91.7,9.2,59.0,MEDIUM
75.1,25.6,18.6,84.2,7.2,40.6,MEDIUM
82.8,52.0,60.1,45.1,6.1,58.7,MEDIUM
78.8,56.4,86.4,97.4,1.2,73.3,LOW
73.3,22.3,14.3,20.8,1.1,26.1,HIGH
78.1,54.9,25.3,35.3,9.0,45.9,MEDIUM
93.2,99.2,94.1,89.4,2.6,95.6,LOW
37.8,95.8,16.8,46.3,6.1,52.4,MEDIUM
48.9,33.6,22.4,56.9,1.3,41.0,MEDIUM
82.7,91.0,96.9,53.1,4.5,77.4,LOW
66.9,66.2,69.5,98.1,3.2,74.3,LOW
45.8,41.1,36.7,26.6,5.6,45.0,MEDIUM
76.2,78.8,28.5,26.2,9.7,46.7,MEDIUM
30.9,37.3,83.7,35.0,1.0,45.9,MEDIUM
71.3,62.2,87.3,80.8,3.1,73.3,LOW
40.8,60.4,92.3,37.5,3.6,70.6,LOW
90.8,61.1,80.2,35.0,2.8,62.8,LOW
51.5,89.6,68.4,31.8,8.8,69.7,LOW
46.8,91.5,26.8,22.3,6.6,47.5,MEDIUM
48.6,94.2,17.6,54.5,1.5,48.4,MEDIUM
65.6,24.3,34.5,27.8,6.5,42.4,MEDIUM
59.6,43.5,46.2,67.5,5.3,51.6,MEDIUM
60.3,74.5,68.2,96.7,2.2,63.0,LOW
32.5,41.3,15.9,28.1,2.3,29.7,HIGH
80.1,51.4,19.1,78.7,8.8,48.1,MEDIUM
44.4,82.9,41.3,43.0,6.0,57.3,MEDIUM
36.6,60.3,73.0,58.1,3.1,64.7,LOW
46.7,45.2,16.3,35.0,9.0,30.4,HIGH
30.9,58.0,40.1,34.2,2.6,34.4,HIGH
77.5,88.2,63.5,97.6,5.8,77.1,LOW
47.3,28.8,83.7,65.4,9.9,66.1,LOW
66.8,33.4,23.2,27.5,3.0,39.2,HIGH
61.7,78.8,99.1,40.6,4.9,73.1,LOW
30.9,48.2,73.9,91.3,7.7,67.4,LOW
93.2,67.7,20.1,74.9,7.3,49.8,MEDIUM
98.5,88.5,69.3,31.3,5.0,69.2,LOW
81.9,97.9,42.3,79.5,1.9,75.8,LOW
74.7,97.2,88.9,74.3,9.0,85.2,LOW
97.1,62.2,33.9,74.3,8.9,60.7,LOW
59.2,99.5,37.8,23.3,5.2,53.5,MEDIUM
72.9,54.7,51.0,97.5,7.9,61.3,LOW
97.9,59.9,71.7,57.3,1.5,76.5,LOW
73.7,73.1,37.3,43.1,8.0,48.8,MEDIUM
32.9,42.6,63.4,24.3,3.1,43.5,MEDIUM
76.2,20.1,32.6,48.0,2.8,46.0,MEDIUM
76.6,81.5,24.0,26.9,2.7,57.4,MEDIUM
43.8,66.8,17.3,37.5,4.7,37.2,HIGH
86.8,71.0,48.0,97.4,1.0,63.2,LOW
51.1,44.9,60.8,74.3,3.2,56.7,MEDIUM
77.8,36.0,22.2,64.3,3.0,36.8,HIGH
69.7,70.3,59.1,50.1,8.8,63.1,LOW
39.7,55.4,38.2,94.8,7.1,52.4,MEDIUM
59.9,53.6,46.9,22.2,5.6,55.2,MEDIUM
59.5,80.5,65.4,44.2,2.4,62.9,LOW
38.9,63.5,60.9,43.5,7.6,53.6,MEDIUM
58.2,20.5,82.7,90.0,4.6,54.4,MEDIUM
33.8,86.4,68.5,46.7,1.0,56.5,MEDIUM
63.7,46.5,15.5,79.2,6.7,48.8,MEDIUM
33.7,36.4,23.0,79.2,5.0,33.8,HIGH
77.3,88.2,37.1,44.9,9.9,54.3,MEDIUM
63.9,75.0,20.3,20.0,6.0,38.6,HIGH
36.8,36.3,52.6,86.6,4.4,42.9,MEDIUM
38.5,52.4,98.4,85.6,8.4,73.0,LOW
87.5,74.5,87.3,69.4,4.3,81.4,LOW
42.9,85.5,69.2,33.7,7.4,63.7,LOW
63.3,43.2,70.1,96.7,4.9,67.6,LOW
57.4,75.8,19.7,53.4,4.2,39.9,HIGH
62.0,65.1,11.0,44.2,6.5,48.7,MEDIUM
73.4,23.4,91.6,97.0,4.7,73.1,LOW
49.4,98.5,42.2,88.5,5.0,62.6,LOW
79.4,51.2,15.6,72.5,3.5,50.3,MEDIUM
53.8,77.2,80.8,42.3,7.6,65.3,LOW
57.6,93.3,68.1,50.1,4.7,71.1,LOW
70.3,94.2,79.8,62.0,1.3,72.7,LOW
96.9,47.8,65.6,52.3,0.4,68.0,LOW
41.1,27.7,19.6,94.7,4.8,42.8,MEDIUM
98.7,84.7,75.9,38.9,9.0,72.6,LOW
92.5,80.5,47.8,25.1,6.1,56.0,MEDIUM
89.3,25.8,78.7,68.5,8.4,73.1,LOW
52.5,75.9,44.0,99.1,5.7,57.8,MEDIUM
47.7,55.0,35.7,36.1,1.6,47.0,MEDIUM
86.6,35.4,62.4,70.3,6.7,57.2,MEDIUM
86.7,91.5,42.4,52.6,5.5,58.8,MEDIUM
43.0,78.4,92.0,71.4,5.0,78.9,LOW
69.9,57.9,41.7,69.5,5.6,50.5,MEDIUM
34.7,54.2,43.9,25.7,0.8,44.6,MEDIUM
50.9,29.4,30.8,68.1,3.3,35.8,HIGH
95.8,93.8,32.6,76.3,0.7,71.8,LOW
97.8,26.0,61.8,88.3,9.3,65.6,LOW
57.9,24.5,72.8,28.9,4.7,56.5,MEDIUM
48.4,22.4,40.4,40.9,3.3,41.4,MEDIUM
39.8,63.8,76.0,93.9,6.6,73.9,LOW
46.5,25.8,95.3,92.3,7.0,70.7,LOW
32.5,98.5,95.5,67.9,6.1,71.1,LOW
68.6,95.7,34.3,23.3,0.4,53.5,MEDIUM
75.5,54.5,37.3,88.0,9.7,52.2,MEDIUM
33.9,81.9,83.0,62.7,8.6,72.9,LOW
81.7,64.2,14.7,81.3,7.0,52.1,MEDIUM
59.9,31.0,49.4,91.8,9.8,53.6,MEDIUM
43.6,54.9,15.2,38.6,5.9,32.1,HIGH
82.3,91.1,81.4,65.4,9.9,74.7,LOW
80.4,85.0,16.9,30.1,1.8,41.4,MEDIUM
54.5,72.4,32.0,43.4,6.1,49.4,MEDIUM
38.6,26.1,32.5,63.5,4.9,41.4,MEDIUM
55.0,93.2,29.8,77.1,9.4,65.5,LOW
50.5,72.3,57.4,41.4,7.0,58.0,MEDIUM
33.8,92.0,73.5,69.7,2.8,62.6,LOW
39.6,98.1,30.7,79.4,2.1,54.1,MEDIUM
87.1,31.4,98.0,75.9,6.5,73.5,LOW
38.0,59.9,13.0,42.2,3.8,40.6,MEDIUM
35.9,42.3,64.9,59.6,8.6,51.9,MEDIUM
33.1,36.5,26.6,54.5,0.5,30.4,HIGH
67.9,47.8,12.3,68.7,8.9,51.4,MEDIUM
93.5,84.8,63.2,80.6,3.4,81.1,LOW
60.4,54.2,75.6,78.8,0.6,58.0,MEDIUM
57.2,77.7,71.0,88.7,9.4,73.1,LOW
70.1,65.5,56.7,33.0,3.8,61.0,LOW
94.7,30.5,11.4,84.0,9.5,41.3,MEDIUM
47.5,63.4,40.4,51.6,6.2,48.1,MEDIUM
76.1,82.6,82.9,68.6,1.2,76.9,LOW
52.5,41.2,26.1,57.0,4.4,40.1,MEDIUM
97.6,58.4,86.0,37.4,0.6,77.2,LOW
49.4,68.8,38.3,25.1,1.8,49.4,MEDIUM
49.3,89.5,21.5,70.4,1.5,53.0,MEDIUM
33.5,29.2,13.5,74.8,8.6,35.5,HIGH
32.9,77.4,15.5,77.2,2.6,40.4,MEDIUM
77.5,88.6,41.8,77.5,6.0,64.5,LOW
35.4,55.5,56.0,39.0,3.3,46.0,MEDIUM
87.6,53.3,67.8,90.1,1.4,66.0,LOW
85.2,46.8,46.7,72.2,4.7,65.8,LOW
73.5,32.8,14.0,94.4,9.1,38.9,HIGH
72.6,84.6,56.0,82.5,5.1,71.5,LOW
54.1,37.2,84.8,22.6,7.3,54.9,MEDIUM
99.8,26.3,17.0,94.8,2.2,47.9,MEDIUM
70.2,63.9,47.6,78.6,8.5,63.2,LOW
33.6,57.8,57.2,55.3,2.7,56.2,MEDIUM
50.5,39.5,31.9,81.4,3.6,44.4,MEDIUM
82.4,29.2,31.7,78.6,8.8,48.9,MEDIUM
54.6,60.5,92.3,72.3,6.1,71.4,LOW
59.3,65.5,84.4,30.0,5.4,69.4,LOW
58.5,66.8,22.4,40.8,2.9,40.8,MEDIUM
35.7,53.7,98.5,66.1,6.3,72.5,LOW
93.0,90.1,11.4,29.7,2.6,51.7,MEDIUM
95.1,79.4,21.4,22.7,4.3,55.0,MEDIUM
99.3,30.6,88.0,93.5,9.0,74.5,LOW
58.2,64.6,74.1,29.5,9.0,69.0,LOW
71.4,69.3,99.5,23.6,7.4,71.3,LOW
61.4,52.7,50.5,86.8,2.9,57.2,MEDIUM
39.4,34.7,78.9,93.3,9.4,56.2,MEDIUM
92.7,67.5,43.3,72.0,3.8,62.3,LOW
65.6,67.0,95.0,27.8,3.0,66.2,LOW
69.5,91.8,62.2,87.5,4.3,71.1,LOW
52.3,34.3,22.9,85.1,7.3,51.3,MEDIUM
44.7,61.5,61.8,69.2,1.0,53.4,MEDIUM
38.3,41.9,49.5,90.8,2.9,57.2,MEDIUM
99.2,80.3,93.2,73.3,1.4,79.5,LOW
88.7,80.4,12.5,92.2,9.6,61.5,LOW
85.9,20.5,84.9,22.1,2.0,63.4,LOW
70.0,78.6,56.9,86.5,2.9,61.7,LOW
79.4,87.6,50.0,54.6,2.6,70.6,LOW
99.5,78.5,20.5,48.3,0.8,59.0,MEDIUM
80.9,46.2,55.6,42.1,6.3,56.9,MEDIUM
84.4,76.5,38.3,94.0,4.3,72.6,LOW
85.6,45.4,85.7,72.9,8.8,66.4,LOW
74.4,20.6,22.3,50.1,9.4,42.8,MEDIUM
48.6,32.1,83.2,78.7,2.8,55.2,MEDIUM
91.3,96.1,87.1,80.0,0.0,77.8,LOW
69.0,36.7,26.0,53.5,2.6,39.5,HIGH
70.9,71.0,53.6,72.6,1.8,59.3,MEDIUM
46.2,43.4,53.7,83.7,3.9,51.1,MEDIUM
63.7,27.7,20.1,90.5,7.5,40.6,MEDIUM
97.9,46.0,69.6,29.3,4.6,59.2,MEDIUM
37.9,75.8,73.4,81.9,4.8,71.8,LOW
64.2,53.0,31.1,43.3,5.1,52.3,MEDIUM
84.8,24.9,79.5,40.9,3.2,57.0,MEDIUM
60.9,51.9,92.1,41.5,7.3,64.7,LOW
87.3,44.7,46.9,65.8,1.7,51.1,MEDIUM
73.8,95.8,65.2,46.4,6.0,63.8,LOW
80.6,84.2,18.1,76.4,9.1,63.8,LOW
68.7,72.4,56.7,49.0,2.0,54.5,MEDIUM
67.5,88.8,30.6,84.1,9.1,60.9,LOW
45.1,78.7,94.6,22.9,0.2,72.4,LOW
37.2,51.8,53.6,32.6,3.0,41.2,MEDIUM
84.1,39.8,34.5,29.9,7.8,49.7,MEDIUM
39.2,79.2,34.3,26.8,0.7,47.6,MEDIUM
83.4,53.2,11.3,86.4,6.0,44.3,MEDIUM
81.5,83.4,27.5,68.5,3.1,55.8,MEDIUM
65.9,21.9,34.7,36.2,2.6,40.0,MEDIUM
63.0,43.3,18.4,97.4,5.6,47.0,MEDIUM
93.5,62.7,32.0,21.4,5.0,49.6,MEDIUM
56.1,63.7,19.7,37.9,9.8,43.0,MEDIUM
46.2,49.6,60.7,71.4,3.3,60.2,LOW
98.3,27.6,25.2,89.2,4.9,47.2,MEDIUM
39.9,69.3,52.6,77.8,5.7,54.0,MEDIUM
83.7,40.2,38.0,47.0,1.5,45.0,MEDIUM
69.6,52.5,10.5,75.2,7.6,50.5,MEDIUM
68.2,45.0,68.7,45.7,7.1,59.6,MEDIUM
90.1,99.4,17.3,28.4,7.0,54.7,MEDIUM
83.0,33.0,77.3,33.3,4.4,66.7,LOW
32.7,53.9,25.4,84.3,4.9,48.0,MEDIUM
68.3,52.0,36.7,54.8,2.9,55.9,MEDIUM
77.4,61.8,65.4,49.7,6.5,58.8,MEDIUM
66.6,36.4,65.3,77.2,5.2,55.5,MEDIUM
62.4,94.9,93.4,77.6,8.5,79.0,LOW
66.7,86.4,10.9,53.3,1.5,40.6,MEDIUM
98.4,44.9,26.9,75.5,5.4,51.6,MEDIUM
34.3,57.5,24.1,48.0,5.6,35.3,HIGH
74.0,94.2,34.7,85.7,8.7,69.1,LOW
51.4,70.0,46.3,40.4,5.4,55.3,MEDIUM
35.4,32.2,75.8,42.4,2.6,43.0,MEDIUM
85.8,67.0,78.9,46.4,7.7,73.8,LOW
49.4,84.6,88.4,73.5,4.7,70.0,LOW
84.8,99.1,18.2,84.3,1.5,56.1,MEDIUM
91.2,45.9,90.6,24.2,5.1,66.6,LOW
76.5,46.2,55.0,29.4,5.6,51.3,MEDIUM
57.0,58.0,38.1,61.8,5.3,57.3,MEDIUM
89.0,96.4,95.1,86.7,7.1,97.2,LOW
69.2,59.2,81.0,74.8,5.6,70.0,LOW
54.4,22.0,42.9,57.3,6.7,47.0,MEDIUM
45.0,64.8,99.8,95.2,3.8,71.2,LOW
82.3,20.9,49.8,62.1,0.1,45.4,MEDIUM
36.6,49.5,32.8,93.7,6.1,40.8,MEDIUM
49.2,58.3,14.0,75.6,2.5,43.9,MEDIUM
98.0,85.9,87.7,94.2,10.0,93.0,LOW
64.3,57.9,88.7,80.0,8.1,67.0,LOW
32.0,91.5,23.8,78.9,8.7,47.9,MEDIUM
59.4,87.7,15.0,71.0,0.6,43.6,MEDIUM
68.1,98.7,27.5,69.1,0.2,63.8,LOW
89.4,45.3,73.8,92.5,5.9,79.0,LOW
66.1,95.2,46.3,87.0,6.7,62.7,LOW
87.8,60.1,75.6,26.7,4.4,61.7,LOW
43.9,60.4,25.6,79.7,8.4,41.0,MEDIUM
49.2,48.1,40.7,65.5,7.0,50.5,MEDIUM
62.4,29.3,18.2,78.4,1.9,40.3,MEDIUM
97.6,81.3,81.0,37.4,3.7,69.0,LOW
80.7,39.7,85.4,71.4,9.0,66.2,LOW
82.9,30.6,14.8,76.5,1.8,36.0,HIGH
52.1,38.1,26.9,90.7,1.8,40.6,MEDIUM
78.8,41.2,54.1,66.3,3.5,59.0,MEDIUM
61.5,70.5,84.9,22.9,8.3,65.4,LOW
67.7,36.9,73.2,47.8,8.1,64.3,LOW
44.5,76.0,55.3,86.4,7.9,57.6,MEDIUM
84.1,40.7,52.1,22.5,1.2,51.7,MEDIUM
43.0,31.2,62.8,49.8,3.8,49.2,MEDIUM
32.4,76.1,66.7,89.5,0.1,61.1,LOW
53.4,71.8,19.0,93.1,3.1,50.3,MEDIUM
43.0,21.7,82.8,56.5,5.8,53.3,MEDIUM
58.0,86.7,32.7,49.9,3.4,56.8,MEDIUM
51.0,97.7,89.0,81.1,9.0,82.6,LOW
59.5,81.9,95.9,52.1,0.3,74.1,LOW
94.6,90.9,96.9,95.4,2.0,98.4,LOW
82.6,30.4,40.0,96.8,9.7,54.4,MEDIUM
83.6,84.1,51.3,33.2,0.0,55.0,MEDIUM
91.8,44.1,17.2,38.9,2.0,35.7,HIGH
47.1,74.8,86.1,49.9,4.8,65.7,LOW
63.0,74.9,72.9,93.0,6.7,79.4,LOW
