overall_percentage,consecutive_absences,monday_absences,total_classes,present_classes,at_risk,risk_score
54.0,0,17,47,25,1,0.87
50.6,12,4,35,17,1,0.92
64.1,7,13,45,28,1,0.61
57.0,9,19,51,29,1,0.89
34.9,4,18,64,22,1,0.92
40.2,4,9,74,29,1,0.92
64.3,4,13,79,50,1,0.56
95.0,5,10,34,32,1,0.41
96.1,3,5,50,48,0,0.22
27.2,10,13,56,15,1,0.88
80.9,8,4,79,63,1,0.47
34.9,0,19,69,24,1,0.88
67.5,7,19,44,29,1,0.57
27.0,2,15,38,10,1,0.9
70.4,11,5,54,38,1,0.6
35.3,6,7,32,11,1,0.89
97.7,8,13,44,42,1,0.52
99.1,6,2,41,40,1,0.54
98.9,15,10,59,58,1,0.54
57.1,1,19,77,43,1,0.93
79.0,12,19,77,60,1,0.51
65.2,1,16,36,23,1,0.6
87.0,1,7,63,54,0,0.21
27.9,12,16,78,21,1,0.91
28.7,9,14,55,15,1,0.94
83.0,9,14,40,33,1,0.49
71.0,1,16,39,27,1,0.6
73.5,2,16,37,27,1,0.57
68.9,4,12,56,38,1,0.58
26.9,14,18,75,20,1,0.94
91.2,2,8,50,45,0,0.25
84.7,3,2,37,31,0,0.23
31.4,12,16,69,21,1,0.94
53.4,12,1,79,42,1,0.87
50.1,4,5,39,19,1,0.87
78.4,13,9,49,38,1,0.52
97.1,9,20,41,39,1,0.46
34.9,6,0,69,24,1,0.93
25.9,15,15,64,16,1,0.93
70.6,15,7,43,30,1,0.61
60.7,13,14,35,21,1,0.61
25.5,8,19,70,17,1,0.91
86.9,1,5,39,33,0,0.0
35.9,1,18,68,24,1,0.88
94.0,1,3,56,52,0,0.26
46.3,5,14,77,35,1,0.91
94.9,2,9,50,47,0,0.39
53.4,2,13,65,34,1,0.86
60.3,3,8,51,30,1,0.6
64.3,6,19,33,21,1,0.56
79.7,2,15,76,60,1,0.42
95.0,9,13,68,64,1,0.53
44.5,11,4,69,30,1,0.91
64.0,15,15,41,26,1,0.64
42.5,9,6,30,12,1,0.86
59.9,3,6,69,41,1,0.95
56.1,10,11,65,36,1,0.93
40.9,6,9,46,18,1,0.93
48.1,10,0,37,17,1,0.92
50.6,0,5,42,21,1,0.88
50.3,15,15,32,16,1,0.91
61.1,14,17,51,31,1,0.6
86.1,1,16,49,42,1,0.41
75.9,0,6,66,50,0,0.24
91.6,11,2,39,35,1,0.48
27.3,12,20,64,17,1,0.93
67.8,12,5,68,46,1,0.56
83.7,9,10,75,62,1,0.45
56.0,15,7,53,29,1,0.9
96.3,6,16,49,47,1,0.47
53.1,1,6,35,18,1,0.89
26.9,15,16,39,10,1,0.87
94.3,9,10,39,36,1,0.53
32.4,4,6,76,24,1,0.85
54.1,3,0,49,26,1,0.94
76.5,2,10,59,45,1,0.44
32.7,9,0,66,21,1,0.93
72.9,6,10,42,30,1,0.57
45.7,10,14,72,32,1,0.86
36.2,8,3,30,10,1,0.95
67.0,3,6,64,42,1,0.59
48.9,4,9,66,32,1,0.87
30.3,10,17,58,17,1,0.86
27.2,1,3,54,14,1,0.86
57.0,5,19,67,38,1,0.91
76.8,14,19,52,39,1,0.48
86.3,2,14,66,56,0,0.36
86.0,14,3,59,50,1,0.48
73.3,14,15,44,32,1,0.64
35.8,8,11,55,19,1,0.87
93.8,10,10,59,55,1,0.5
29.9,3,11,60,17,1,0.9
37.8,11,19,66,24,1,0.86
32.7,3,10,65,21,1,0.91
84.4,14,12,67,56,1,0.49
71.6,5,15,54,38,1,0.56
40.6,13,13,66,26,1,0.93
65.8,7,5,72,47,1,0.62
80.5,15,3,67,53,1,0.51
49.4,3,14,41,20,1,0.88
55.4,3,19,79,43,1,0.93
49.6,1,2,43,21,1,0.93
91.5,0,4,72,65,0,0.05
54.2,14,6,43,23,1,0.92
48.7,9,13,75,36,1,0.95
50.8,2,18,30,15,1,0.91
63.3,4,9,33,20,1,0.59
66.2,1,0,75,49,1,0.61
98.4,3,9,31,30,0,0.37
77.7,12,20,50,38,1,0.52
55.5,13,17,43,23,1,0.92
60.6,6,17,54,32,1,0.63
52.0,13,4,48,24,1,0.95
75.3,4,0,34,25,0,0.16
91.4,13,4,35,31,1,0.46
85.4,14,19,57,48,1,0.51
59.1,13,17,58,34,1,0.89
41.9,13,19,30,12,1,0.91
88.5,7,16,47,41,1,0.49
66.0,11,1,32,21,1,0.61
77.9,3,18,60,46,1,0.45
31.0,8,14,63,19,1,0.86
91.7,2,7,60,55,0,0.21
75.2,9,19,33,24,1,0.54
65.1,0,15,59,38,1,0.6
60.2,10,13,52,31,1,0.65
84.9,9,5,32,27,1,0.52
69.8,9,18,46,32,1,0.56
60.5,5,18,33,19,1,0.62
46.9,0,9,61,28,1,0.86
62.9,8,8,38,23,1,0.61
45.6,8,0,77,35,1,0.86
38.1,4,14,53,20,1,0.93
44.6,7,15,41,18,1,0.93
89.7,10,2,39,34,1,0.51
86.6,15,13,79,68,1,0.49
74.6,5,6,66,49,1,0.62
50.9,8,3,33,16,1,0.87
54.9,9,15,77,42,1,0.94
94.2,7,12,73,68,1,0.52
60.6,4,16,57,34,1,0.55
94.5,14,12,73,68,1,0.48
64.8,1,3,64,41,1,0.61
96.7,13,19,71,68,1,0.54
50.1,8,3,46,23,1,0.92
54.3,7,18,79,42,1,0.87
50.3,5,10,65,32,1,0.85
25.6,2,0,56,14,1,0.86
32.8,14,11,44,14,1,0.92
43.9,1,0,69,30,1,0.86
95.4,6,19,70,66,1,0.46
96.8,2,19,38,36,0,0.39
82.3,5,3,74,60,0,0.03
74.5,2,20,59,43,1,0.64
45.7,13,10,46,21,1,0.87
30.5,1,12,54,16,1,0.88
29.5,8,5,58,17,1,0.86
98.5,6,19,55,54,1,0.47
61.9,4,17,79,48,1,0.59
71.0,3,14,75,53,1,0.58
27.6,2,18,76,20,1,0.88
58.4,15,4,71,41,1,0.91
95.0,12,8,39,37,1,0.52
92.8,0,16,75,69,1,0.44
61.8,13,12,76,46,1,0.63
83.9,7,0,54,45,1,0.55
86.3,15,3,66,56,1,0.5
99.4,10,9,55,54,1,0.46
99.8,2,11,64,63,1,0.44
50.5,14,9,71,35,1,0.87
66.6,12,6,49,32,1,0.62
92.2,11,15,35,32,1,0.54
57.8,6,4,32,18,1,0.87
79.0,7,15,54,42,1,0.46
65.5,9,15,64,41,1,0.65
85.9,0,1,51,43,0,0.05
28.2,3,6,71,20,1,0.92
59.4,4,18,44,26,1,0.94
27.8,4,15,71,19,1,0.85
93.0,1,7,74,68,0,0.15
72.4,9,3,59,42,1,0.61
87.7,2,3,37,32,0,0.18
41.5,6,13,51,21,1,0.93
98.7,12,10,37,36,1,0.55
68.2,4,10,80,54,1,0.57
28.4,5,10,34,9,1,0.86
35.6,13,5,74,26,1,0.89
37.4,7,18,32,11,1,0.86
84.3,12,5,31,26,1,0.54
31.1,0,5,35,10,1,0.92
69.5,9,13,74,51,1,0.63
82.9,4,6,39,32,0,0.19
55.9,5,19,74,41,1,0.85
38.5,15,19,35,13,1,0.91
83.7,11,13,30,25,1,0.51
39.4,3,19,53,20,1,0.94
99.0,7,14,79,78,1,0.51
40.6,1,6,37,15,1,0.93
76.4,15,15,41,31,1,0.47
94.2,1,20,53,49,0,0.38
57.6,10,19,78,44,1,0.9
32.8,1,17,41,13,1,0.87
27.2,3,2,45,12,1,0.92
69.5,10,13,42,29,1,0.62
92.4,7,3,50,46,1,0.47
42.8,13,6,54,23,1,0.94
30.5,15,1,57,17,1,0.86
94.6,14,5,54,51,1,0.49
59.3,6,20,52,30,1,0.95
40.2,4,1,74,29,1,0.91
46.0,3,14,59,27,1,0.89
82.0,7,9,68,55,1,0.47
84.6,5,18,65,54,1,0.44
31.5,15,6,67,21,1,0.9
59.7,0,13,77,45,1,0.94
43.6,13,18,44,19,1,0.94
69.4,4,18,30,20,1,0.59
28.3,15,16,32,9,1,0.89
54.6,3,14,61,33,1,0.87
66.9,0,13,43,28,1,0.56
47.2,2,0,60,28,1,0.92
37.1,14,18,77,28,1,0.91
98.2,14,4,75,73,1,0.49
84.2,11,20,59,49,1,0.52
25.1,2,12,74,18,1,0.88
27.5,13,8,74,20,1,0.94
65.7,6,2,69,45,1,0.64
80.2,1,16,73,58,0,0.39
28.9,12,11,59,17,1,0.91
52.4,5,20,65,34,1,0.92
67.1,6,4,51,34,1,0.57
33.5,15,18,74,24,1,0.87
80.9,7,10,52,42,1,0.54
62.8,13,8,33,20,1,0.56
50.9,15,16,63,32,1,0.93
60.3,9,14,69,41,1,0.59
75.5,2,6,59,44,0,0.02
38.4,2,3,40,15,1,0.88
77.3,15,4,43,33,1,0.5
72.0,9,13,73,52,1,0.6
34.9,11,13,58,20,1,0.92
26.6,6,2,31,8,1,0.94
42.4,10,13,67,28,1,0.88
73.5,10,15,67,49,1,0.62
64.8,14,14,49,31,1,0.61
92.4,9,5,80,73,1,0.48
61.3,9,1,39,23,1,0.59
59.2,5,19,40,23,1,0.92
46.4,5,4,40,18,1,0.87
28.1,10,18,38,10,1,0.89
52.7,6,17,75,39,1,0.85
48.8,11,4,53,25,1,0.89
98.2,9,3,31,30,1,0.49
62.5,4,14,50,31,1,0.57
97.8,10,20,75,73,1,0.48
92.2,4,18,76,70,1,0.44
58.2,3,15,32,18,1,0.86
66.3,9,0,55,36,1,0.61
41.5,11,2,50,20,1,0.86
73.1,7,8,42,30,1,0.55
65.4,14,2,62,40,1,0.59
61.8,1,11,55,33,1,0.56
89.0,11,12,53,47,1,0.45
50.9,9,14,65,33,1,0.86
79.6,14,13,58,46,1,0.48
85.4,13,13,38,32,1,0.53
69.8,4,6,49,34,1,0.6
90.1,10,2,67,60,1,0.53
31.6,13,20,47,14,1,0.89
66.7,4,6,41,27,1,0.63
46.7,15,1,49,22,1,0.93
47.8,14,7,31,14,1,0.93
36.6,9,20,70,25,1,0.9
74.0,9,13,41,30,1,0.6
76.6,7,0,37,28,1,0.53
62.0,2,19,77,47,1,0.59
61.0,13,8,70,42,1,0.62
98.1,3,11,62,60,1,0.42
26.3,8,5,67,17,1,0.86
49.0,4,11,40,19,1,0.86
52.1,11,1,48,25,1,0.88
72.9,2,16,42,30,1,0.63
38.7,3,19,78,30,1,0.87
49.2,10,9,47,23,1,0.92
76.6,3,17,67,51,0,0.39
35.8,4,16,48,17,1,0.89
61.4,10,5,36,22,1,0.57
62.8,6,17,69,43,1,0.62
96.4,3,13,59,56,1,0.44
33.7,4,0,60,20,1,0.88
76.8,4,14,68,52,1,0.4
97.8,5,9,31,30,1,0.42
33.9,4,4,74,25,1,0.87
34.4,4,2,57,19,1,0.92
83.8,2,0,79,66,0,0.14
39.7,1,16,67,26,1,0.86
33.9,8,1,34,11,1,0.88
25.8,3,3,68,17,1,0.87
92.6,5,11,31,28,0,0.36
88.4,8,18,52,45,1,0.49
89.1,7,16,66,58,1,0.46
86.5,0,16,43,37,1,0.42
97.3,5,17,30,29,1,0.45
32.4,6,16,75,24,1,0.9
77.4,5,14,73,56,1,0.45
38.6,11,12,57,22,1,0.87
42.1,3,10,37,15,1,0.9
64.0,15,11,75,48,1,0.58
79.2,2,10,61,48,0,0.36
46.3,9,14,44,20,1,0.91
46.8,13,6,34,15,1,0.94
85.2,11,5,30,25,1,0.55
61.9,3,12,58,35,1,0.6
75.7,3,4,55,41,0,0.13
32.6,5,2,53,17,1,0.95
50.4,12,3,44,22,1,0.93
79.4,8,18,67,53,1,0.48
84.2,12,11,60,50,1,0.52
96.3,15,16,47,45,1,0.46
59.1,3,8,61,36,1,0.9
72.1,4,0,36,25,1,0.62
87.3,15,0,41,35,1,0.49
75.9,4,9,69,52,1,0.41
82.0,15,14,42,34,1,0.48
62.3,8,17,51,31,1,0.63
65.5,0,1,57,37,1,0.64
33.9,14,10,54,18,1,0.89
27.7,5,17,72,19,1,0.94
47.7,5,15,57,27,1,0.86
78.7,15,3,66,51,1,0.52
74.5,15,15,65,48,1,0.64
63.0,12,8,61,38,1,0.61
53.3,11,9,50,26,1,0.86
69.3,4,11,52,36,1,0.63
68.8,10,12,36,24,1,0.59
99.4,13,11,33,32,1,0.52
43.6,9,18,35,15,1,0.94
29.9,9,3,51,15,1,0.87
65.4,1,14,72,47,1,0.64
67.6,13,8,31,20,1,0.62
69.1,10,12,66,45,1,0.59
